CustID,Recency_Weeks,Freq_Weeks,Monetary,Age,NumberProducts,F_FOOD,F_DRINKS,F_TOYS,F_HEALTH_BEAUTY,F_SPORTS_OUTDOOR,F_HOUSE,F_Cleaning,F_MAGAZINES,F_GROSSERIES,F_PLANTS_ANIMALS,F_CLOTHES,F_BABY,F_ENTERTAINMENT,F_COMPUTERS,F_SOUND_IMAGE,F_APPLIANCES,M_FOOD,M_DRINKS,M_TOYS,M_HOUSE,M_Cleaning,M_HEALTH_BEAUTY,M_SPORTS_OUTDOOR,M_MAGAZINES,M_GROSSERIES,M_PLANTS_ANIMALS,M_CLOTHES,M_BABY,M_ENTERTAINMENT,M_COMPUTERS,M_SOUND_IMAGE,M_APPLIANCES,M_SUM,F_MAX,validate1,validate2,validate3,validate4,validate5,Loyalty
270,2,40,2367.83,25,653,38,26,1,1,0,17,35,17,40,0,3,0,0,0,0,0,525.22,81.74,7.99,110.04,1058.23,8.85,0,82.79,403.03,0,82.94,0,0,0,0,0,2360.83,40,0,7,0,0,0,38
271,48,1,18.01,20,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,16.17,0,0,0,1.84,0,0,0,0,0,0,0,18.01,1,0,0,0,0,0,-47
273,0,52,4062.56,54,794,51,28,2,6,0,10,36,9,39,0,10,0,0,0,0,0,1389.36,199.95,164.94,150.3,1233.75,90.42,0,42.85,482.26,0,308.73,0,0,0,0,0,4062.56,51,0,0,0,0,0,52
274,44,1,88.21,17,17,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,53.92,0,0,0,20.66,0,0,0,13.63,0,0,0,0,0,0,0,88.21,1,0,0,0,0,0,-43
276,2,7,385.32,26,110,7,3,1,0,0,2,4,3,5,0,1,0,0,0,0,0,269.59,42.33,7.99,4.48,18.85,0,0,14.85,23.24,0,3.99,0,0,0,0,0,385.32,7,0,0,0,0,0,5
277,5,14,211,22,92,7,12,1,0,0,2,3,0,10,0,4,2,0,0,0,0,33.77,70.9,5.99,5.23,14.71,0,0,0,44.99,0,25.44,9.97,0,0,0,0,211,12,0,0,0,0,0,9
278,5,5,187.06,23,102,5,3,0,0,0,0,4,1,4,0,0,0,0,0,0,0,53.6,21.66,0,0,37.91,0,0,13.9,59.99,0,0,0,0,0,0,0,187.06,5,0,0,0,0,0,0
279,0,13,165.39,30,74,10,3,0,7,0,3,2,1,8,0,0,0,0,0,0,0,90.53,9.81,0,8.55,7.57,30.49,0,1.35,17.09,0,0,0,0,0,0,0,165.39,10,0,0,0,0,0,13
281,0,16,249.89,21,161,15,10,0,0,0,2,9,0,12,0,0,0,0,0,0,0,125.38,12.65,0,7.99,54.09,0,0,0,49.78,0,0,0,0,0,0,0,249.89,15,0,0,0,0,0,16
282,11,7,55.26,25,15,4,2,0,0,0,1,0,0,3,1,0,0,0,0,0,0,35.82,8.96,0,3.99,0,0,0,0,4.51,1.98,0,0,0,0,0,0,55.26,4,0,0,0,0,0,-4
283,20,3,23.66,17,18,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,17.49,0,0,1.89,4.28,0,0,0,0,0,0,0,0,0,0,0,23.66,3,0,0,0,0,0,-17
285,0,25,158.58,22,123,25,16,0,0,0,2,2,0,7,0,0,0,0,0,0,0,120.84,7,0,10.78,3.48,0,0,0,16.48,0,0,0,0,0,0,0,158.58,25,0,0,0,0,0,25
286,14,23,1254.31,24,488,22,17,2,0,0,6,14,3,19,3,0,1,0,0,0,0,681.58,31.87,35.99,55.95,200.87,0,0,11.3,220.72,10.97,0,4.99,0,0,0,0,1254.24,22,0,0.07,0,0,0,9
287,2,11,351.72,27,74,11,1,1,0,0,3,6,1,5,2,1,0,0,0,0,0,138.05,5.89,34.99,50.14,69.89,0,0,5.05,25.84,3.88,16.99,0,0,0,0,0,350.72,11,0,1,0,0,0,9
289,0,52,4231.15,63,2230,52,52,6,5,0,9,52,42,52,1,3,0,0,0,0,0,1703.56,473.24,16.87,145.4,871.75,32.68,0,169.88,760.84,1.49,54.94,0,0,0,0,0,4230.65,62,0,0.5,0,0,0,52
290,1,36,1133.04,54,526,30,14,2,9,0,2,23,6,30,1,3,0,0,0,0,0,352.27,22.22,2.99,1.89,175.65,46.71,0,77.56,448.28,2.12,3,0,0,0,0,0,1132.69,30,0,0.35,0,0,0,35
291,29,3,171.04,18,52,3,3,0,0,0,1,2,2,3,0,0,0,0,0,0,0,62.45,13.66,0,5.18,56.65,0,0,1.75,31.35,0,0,0,0,0,0,0,171.04,3,0,0,0,0,0,-26
